#Freq       VDB(5)    
 426.58E+06 -77.758    
 436.52E+06 -78.604    
 446.68E+06 -79.451    
 457.09E+06 -80.299    
 467.74E+06 -81.149    
 478.63E+06 -82.001    
 489.78E+06 -82.854    
 501.19E+06 -83.709    
 512.86E+06 -84.567    
 524.81E+06 -85.427    
 537.03E+06 -86.289    
 549.54E+06 -87.154    
 562.34E+06 -88.021    
 575.44E+06 -88.892    
 588.84E+06 -89.766    
 602.56E+06 -90.643    
 616.6E+06  -91.525    
 630.96E+06 -92.41     
 645.65E+06 -93.299    
 660.69E+06 -94.193    
 676.08E+06 -95.092    
 691.83E+06 -95.997    
 707.95E+06 -96.907    
 724.44E+06 -97.823    
 741.31E+06 -98.745    
 758.58E+06 -99.675    
 776.25E+06 -100.61    
 794.33E+06 -101.56    
 812.83E+06 -102.51    
 831.76E+06 -103.48    
 851.14E+06 -104.45    
 870.96E+06 -105.43    
 891.25E+06 -106.43    
 912.01E+06 -107.44    
 933.25E+06 -108.46    
 954.99E+06 -109.5     
 977.24E+06 -110.56    
 1.E+09       -111.63    
